area_avg|Área 1|50011.87
area_avg|Área 2|50077.08
last_name_max|Bravato|Agna Bravato|99948.20
last_name_max|Bravim|Ahmet Bravim|99867.91
last_name_max|Bravin|Alsone Bravin|99968.40
last_name_max|Bray|Agnessija Bray|99903.54
last_name_max|Breda|Addam Breda|99980.98
last_name_max|Bregolin|Abramo Bregolin|99958.23
last_name_max|Brenna|Abia Brenna|99529.60
last_name_max|Brennan|Alethea Brennan|99699.65
last_name_max|Brescia|Alton Brescia|99997.66
last_name_max|Bresciani|Almeda Bresciani|99996.27
last_name_max|Bressan|Alisha Bressan|99956.30
last_name_max|Bressi|Aleana Bressi|99972.19
last_name_max|Breves|Aliceie Breves|99971.41
last_name_max|Brewer|Abey Brewer|99926.84
last_name_max|Brezininiski|Alric Brezininiski|99590.30
last_name_max|Breziniscki|Allathia Breziniscki|99847.31
last_name_max|Brezinski|Aisha Brezinski|99875.73
last_name_max|Bria|Achillea Bria|99999.86
last_name_max|Brianezi|Adolphe Brianezi|99996.53
last_name_max|Bridges|Abrahm Bridges|99629.95
last_name_max|Brigandi|Abdulaziz Brigandi|99970.62
last_name_max|Brigante|Adelbert Brigante|99882.77
last_name_max|Briganti|Alesandro Briganti|99976.05
last_name_max|Briggs|Albani Briggs|99973.90
last_name_max|Bright|Alodia Bright|99876.26
last_name_max|Briglia|Alby Briglia|99981.78
last_name_max|Brindisi|Aleshanee Brindisi|99946.12
last_name_max|Brino|Ainsley Brino|99824.55
last_name_max|Brioschi|Alger Brioschi|99889.72
last_name_max|Briosqui|Adoree Briosqui|99933.85
last_name_max|Brisot|Aksel Brisot|99944.59
last_name_max|Brito|Adin Brito|99775.57
last_name_max|Brizzi|Abagail Brizzi|99927.64
last_name_max|Brocato|Aden Brocato|99917.83
last_name_max|Brocco|Adlai Brocco|99617.27
last_name_max|Broccoli|Adreenah Broccoli|99999.31
last_name_max|Brock|Adine Brock|99751.57
last_name_max|Brodeur|Aleeya Brodeur|99928.72
last_name_max|Broedel|Ahern Broedel|99916.82
last_name_max|Brogan|Adreian Brogan|99942.29
last_name_max|Broggi|Alithea Broggi|99776.81
last_name_max|Brooks|Adham Brooks|99869.17
last_name_max|Brouwer|Allisena Brouwer|99901.84
last_name_max|Brown|Adalgisa Brown|99934.33
last_name_max|Browning|Akecheta Browning|99581.27
last_name_max|Brucato|Aleric Brucato|99948.71
last_name_max|Bruce|Aidah Bruce|99673.65
last_name_max|Bruin|Abuna Bruin|99899.22
last_name_max|Brum|Allyssa Brum|99680.73
last_name_max|Brumana|Alain Brumana|99965.70
last_name_max|Bruna|Alisinah Bruna|99960.38
last_name_max|Bruneli|Alissun Bruneli|99997.29
last_name_max|Brunelli|Aliyeh Brunelli|99817.17
last_name_max|Brunetti|Allaistar Brunetti|99867.09
last_name_max|Brunetto|Addisun Brunetto|99818.16
last_name_max|Bruni|Allisen Bruni|99899.20
last_name_max|Bruno|Adelaide Bruno|99435.48
last_name_max|Bruschi|Aldritch Bruschi|99985.56
last_name_max|Brusco|Alfeus Brusco|99957.21
last_name_max|Brush|Agenta Brush|99904.63
last_name_max|Brusque|Aberham Brusque|99950.87
last_name_max|Bruzzese|Aimil Bruzzese|99696.63
last_name_max|Bryan|Alawa Bryan|99955.16
last_name_max|Bryant|Alds Bryant|99819.82
last_name_max|Bua|Adda Bua|99615.01
last_name_max|Bucca|Aaryn Bucca|99987.52
last_name_max|Buccellato|Altheda Buccellato|99902.07
last_name_max|Bucceri|Aliyah Bucceri|99995.00
last_name_max|Bucci|Adhamh Bucci|99883.93
last_name_max|Bucciarelli|Adryane Bucciarelli|99983.96
last_name_max|Bucciero|Adrine Bucciero|99948.98
last_name_max|Buccini|Adinna Buccini|99924.03
last_name_max|Buccino|Alayna Buccino|99988.45
last_name_max|Bucco|Adryan Bucco|99993.52
last_name_max|Buccola|Allisine Buccola|99932.24
last_name_max|Buchanan|Allidia Buchanan|99469.42
last_name_max|Buck|Aldin Buck|99917.55
last_name_max|Buckley|Allethia Buckley|99766.92
last_name_max|Bucolo|Alletheah Bucolo|99988.25
last_name_max|Bueno|Ahamed Bueno|99931.13
last_name_max|Bueti|Achillea Bueti|99900.78
last_name_max|Bufalini|Alina Bufalini|99883.49
last_name_max|Bufalino|Albean Bufalino|99933.84
last_name_max|Buffa|Ada Buffa|99599.81
last_name_max|Buffo|Alisana Buffo|99805.75
last_name_max|Buffone|Alia Buffone|99957.86
last_name_max|Buglione|Aleane Buglione|99867.81
last_name_max|Bugni|Achmed Bugni|99706.21
last_name_max|Bulla|Ackley Bulla|99957.41
last_name_max|Bullock|Adrea Bullock|99974.03
last_name_max|Buonaiuto|Adelmo Buonaiuto|99830.39
last_name_max|Buonanno|Aleese Buonanno|99978.57
last_name_max|Buonomo|Abell Buonomo|99934.64
last_name_max|Buonopane|Alder Buonopane|99896.35
last_name_max|Buoro|Aislyn Buoro|99984.74
last_name_max|Buratti|Aaran Buratti|99963.53
last_name_max|Burch|Alfie Burch|99948.40
last_name_max|Burdi|Ackley Burdi|99831.83
last_name_max|Burgess|Akiyo Burgess|99913.15
last_name_max|Burgi|Addyson Burgi|99963.91
last_name_max|Burgio|Adamek Burgio|99976.64
last_name_max|Burgo|Agaue Burgo|99899.07
last_name_max|Burgues|Ailean Burgues|99775.32
last_name_max|Burke|Albani Burke|99828.21
last_name_max|Burnett|Agath Burnett|99996.44
last_name_max|Burns|Affra Burns|99990.31
last_name_max|Buro|Abagail Buro|99783.76
last_name_max|Burrows|Aimie Burrows|99917.86
last_name_max|Burton|Akbar Burton|99991.74
last_name_max|Busa|Addisun Busa|99888.90
last_name_max|Busacca|Adalberto Busacca|99947.20
last_name_max|Busalacchi|Affra Busalacchi|99937.34
last_name_max|Busato|Aleana Busato|99907.51
last_name_max|Busch|Alejanda Busch|99979.61
last_name_max|Busetti|Abra Busetti|99605.33
last_name_max|Bush|Addam Bush|99830.22
last_name_max|Buskirk|Addyson Buskirk|99821.44
last_name_max|Buson|Alesandro Buson|99918.18
last_name_max|Bussa|Abegale Bussa|99955.84
last_name_max|Bussone|Abegail Bussone|99902.66
last_name_max|Butler|Adaline Butler|99934.65
last_name_max|Butta|Alphoeus Butta|99807.91
last_name_max|Buttacavoli|Alceena Buttacavoli|99844.07
last_name_max|Buttitta|Ahron Buttitta|99900.31
last_name_max|Butto|Allisina Butto|99936.81
last_name_max|Buzatto|Adnon Buzatto|99908.58
last_name_max|Buzon|Alejanda Buzon|99998.17
last_name_max|Buzza|Aj Buzza|99906.81
last_name_max|Buzzelli|Alettah Buzzelli|99972.98
last_name_max|Buzzeo|Acadia Buzzeo|99899.73
last_name_max|Buzzi|Allyssa Buzzi|99937.43
last_name_max|Byl|Agnizka Byl|99885.48
last_name_max|Byrd|Akiva Byrd|99921.54
last_name_max|Caballero|Aletta Caballero|99984.82
last_name_max|Cabral|Admon Cabral|99910.71
last_name_max|Cabrera|Alissa Cabrera|99805.86
last_name_max|Caccamise|Ajaye Caccamise|99974.47
last_name_max|Caccamo|Aella Caccamo|99973.30
last_name_max|Caccavale|Alastaire Caccavale|99733.50
last_name_max|Caccese|Aiyana Caccese|99999.28
last_name_max|Cacchione|Akuti Cacchione|99972.39
last_name_max|Caccia|Aide Caccia|99983.10
last_name_max|Cacciatore|Alejandro Cacciatore|99956.37
last_name_max|Cacciola|Agripina Cacciola|99890.76
last_name_max|Caetano|Ada Caetano|99958.38
last_name_max|Cafarella|Alisyn Cafarella|99992.35
last_name_max|Cafarelli|Abbiah Cafarelli|99825.17
last_name_max|Cafasso|Alixe Cafasso|99968.98
last_name_max|Cafe|Abbygayle Cafe|99953.61
last_name_max|Cagnina|Aksel Cagnina|99931.01
last_name_max|Caiazza|Adahy Caiazza|99920.67
last_name_max|Caiazzo|Aella Caiazzo|99822.29
last_name_max|Cain|Adao Cain|99975.75
last_name_max|Cairo|Alisun Cairo|99965.99
last_name_max|Caito|Akemi Caito|99935.40
last_name_max|Calabrese|Allisuna Calabrese|99821.43
last_name_max|Calabretta|Adysen Calabretta|99915.62
last_name_max|Calabreza|Alejandra Calabreza|99873.33
last_name_max|Calabrez|Agnetha Calabrez|99968.83
last_name_max|Calabria|Adreyan Calabria|99907.36
last_name_max|Calabro|Aleah Calabro|99992.08
last_name_max|Calafiore|Allythya Calafiore|99928.34
last_name_max|Calamari|Aila Calamari|99938.90
last_name_max|Calandra|Abuna Calandra|99391.60
last_name_max|Calandro|Aleece Calandro|99990.89
last_name_max|Calarco|Abigail Calarco|99901.60
last_name_max|Calassara|Alexandra Calassara|99738.02
last_name_max|Calatrone|Alisen Calatrone|99997.19
last_name_max|Calazans|Achillea Calazans|99977.26
last_name_max|Calcagni|Aarron Calcagni|99962.75
last_name_max|Calcagno|Agamemnon Calcagno|99944.71
last_name_max|Calcaterra|Alexei Calcaterra|99908.64
last_name_max|Caldarella|Aaron Caldarella|99903.31
last_name_max|Caldarelli|Ahmaud Caldarelli|99963.57
last_name_max|Caldarera|Aleene Caldarera|99989.20
last_name_max|Caldarone|Adalgisa Caldarone|99703.66
last_name_max|Caldeira|Alea Caldeira|99919.77
last_name_max|Calderaro|Aiko Calderaro|99690.49
last_name_max|Calderon|Adalea Calderon|99966.25
last_name_max|Calderone|Alfonsus Calderone|99996.94
last_name_max|Caldo|Aleaseya Caldo|99935.32
last_name_max|Caldwell|Abrienna Caldwell|99956.50
last_name_max|Calegari|Aliki Calegari|99980.04
last_name_max|Calegario|Ally Calegario|99994.50
last_name_max|Calhoun|Adriann Calhoun|99906.47
last_name_max|Caliari|Adaly Caliari|99902.24
last_name_max|Calicchio|Althia Calicchio|99998.35
last_name_max|Caliendo|Aarron Caliendo|99842.58
last_name_max|Califano|Aisha Califano|99961.21
last_name_max|Califfe|Adreanna Califfe|99987.75
last_name_max|Calil|Allisona Calil|99978.24
last_name_max|Calimam|Adryane Calimam|99775.15
last_name_max|Caliman|Albertyna Caliman|99953.99
last_name_max|Calistro|Alsinia Calistro|99760.06
last_name_max|Calitri|Abbeygale Calitri|99822.49
last_name_max|Caliva|Alfie Caliva|99921.78
last_name_max|Calixto|Aamir Calixto|99888.05
last_name_max|Calla|Agnesse Calla|99786.45
last_name_max|Callahan|Ada Callahan|99935.49
last_name_max|Callegari|Algie Callegari|99741.09
last_name_max|Calliman|Achuta Calliman|99869.46
last_name_max|Calmon|Alix Calmon|99983.16
last_name_max|Calotto|Alana Calotto|99960.63
last_name_max|Caltabiano|Aleece Caltabiano|99953.70
last_name_max|Caltagirone|Abijah Caltagirone|99893.90
last_name_max|Calvanese|Abner Calvanese|99943.37
last_name_max|Calvano|Alrik Calvano|99862.40
last_name_max|Calvetti|Alexas Calvetti|99931.26
last_name_max|Calvi|Alfeo Calvi|99619.50
last_name_max|Camacho|Albertine Camacho|99824.62
last_name_max|Camara|Akako Camara|99883.79
last_name_max|Camarata|Alsone Camarata|99892.35
last_name_max|Camargo|Airle Camargo|99924.99
last_name_max|Camata|Alexander Camata|99978.32
last_name_max|Camatta|Alisan Camatta|99902.76
last_name_max|Cambareri|Alivah Cambareri|99842.60
last_name_max|Cambiage|Alfonso Cambiage|99919.59
last_name_max|Cambio|Alethea Cambio|99994.16
last_name_max|Cambria|Ali Cambria|99981.34
last_name_max|Camelio|Abegayle Camelio|99947.73
last_name_max|Camerino|Ahanu Camerino|99986.33
last_name_max|Cameron|Aden Cameron|99961.61
last_name_max|Camilete|Ajaye Camilete|99189.92
last_name_max|Camillete|Aliz Camillete|99968.36
last_name_max|Camilli|Aleksanteri Camilli|99972.96
last_name_max|Camillo|Aden Camillo|99797.58
last_name_max|Caminiti|Almeda Caminiti|99968.68
last_name_max|Camino|Alaqua Camino|99785.91
last_name_max|Cammarano|Adna Cammarano|99964.60
last_name_max|Camozzi|Alarico Camozzi|99970.94
last_name_max|Campagna|Adrain Campagna|99480.35
last_name_max|Campagnaro|Akaisha Campagnaro|99691.09
last_name_max|Campana|Allethyah Campana|99843.16
last_name_max|Campanale|Albina Campanale|99879.06
last_name_max|Campanella|Alan Campanella|99995.46
last_name_max|Campanelli|Abbygale Campanelli|99913.49
last_name_max|Campanile|Abbe Campanile|99925.07
last_name_max|Campbell|Allston Campbell|99925.89
last_name_max|Campi|Allathiah Campi|99995.04
last_name_max|Campione|Abia Campione|99946.62
last_name_max|Campise|Alkibiades Campise|99801.41
last_name_max|Campitelli|Allene Campitelli|99988.61
last_name_max|Campo|Alcander Campo|99975.83
last_name_max|Campobasso|Abner Campobasso|99997.44
last_name_max|Campodonico|Ainslee Campodonico|99394.44
last_name_max|Campoli|Alexia Campoli|99938.68
last_name_max|Campolo|Alldrich Campolo|99946.04
last_name_max|Campopiano|Agacia Campopiano|99915.78
last_name_max|Camporeale|Aloess Camporeale|99967.91
last_name_max|Camporez|Althia Camporez|99947.18
last_name_max|Campos|Albyrt Campos|99915.84
last_name_max|Campus|Affrey Campus|99905.89
last_name_max|Canal|Addisen Canal|99895.34
last_name_max|Canale|Alisina Canale|99912.02
last_name_max|Canali|Alisea Canali|99847.39
last_name_max|Canata|Alldyn Canata|99946.68
last_name_max|Canceglieri|Aloysius Canceglieri|99688.01
last_name_max|Cancellieri|Allisia Cancellieri|99825.47
last_name_max|Cancian|Akuti Cancian|99860.62
last_name_max|Candela|Agnizka Candela|99990.19
last_name_max|Candia|Ajay Candia|99806.26
last_name_max|Candido|Abiir Candido|99920.24
last_name_max|Candito|Agaue Candito|99964.86
last_name_max|Canepa|Agenta Canepa|99412.60
last_name_max|Canevari|Aimie Canevari|99986.97
last_name_max|Cangialosi|Alleta Cangialosi|99867.02
last_name_max|Cannada|Ackley Cannada|99980.12
last_name_max|Cannon|Allisin Cannon|99995.42
last_name_max|Cannone|Aherne Cannone|99991.10
last_name_max|Cannova|Abeni Cannova|99988.61
last_name_max|Cansi|Allathia Cansi|99988.04
last_name_max|Cansian|Adella Cansian|99857.23
last_name_max|Cansio|Adaleah Cansio|99855.67
last_name_max|Cantalupo|Abselon Cantalupo|99930.47
last_name_max|Cantarella|Abril Cantarella|99902.98
last_name_max|Cantone|Aleks Cantone|99947.33
last_name_max|Cantoni|Adnot Cantoni|99988.13
last_name_max|Cantore|Abreeana Cantore|99935.15
last_name_max|Cantrell|Allena Cantrell|99909.62
last_name_max|Cantu|Agnella Cantu|99955.70
last_name_max|Canzano|Aalam Canzano|99776.36
last_name_max|Canzian|Alrick Canzian|99728.77
last_name_max|Capaccio|Ahearn Capaccio|99823.49
last_name_max|Capaldi|Adelmo Capaldi|99909.92
last_name_max|Caparelli|Ahlois Caparelli|99822.16
last_name_max|Capelini|Alec Capelini|99984.18
last_name_max|Capella|Alfonsus Capella|99944.62
last_name_max|Capelli|Aleeya Capelli|99867.29
last_name_max|Capello|Alfreda Capello|99739.00
last_name_max|Capito|Abree Capito|99661.93
last_name_max|Capo|Aimee Capo|99874.56
last_name_max|Capobianco|Abbegale Capobianco|99989.46
last_name_max|Capodanno|Acura Capodanno|99920.74
last_name_max|Capone|Aleason Capone|99866.40
last_name_max|Caponera|Ailean Caponera|99841.46
last_name_max|Caponi|Alesha Caponi|99936.24
last_name_max|Caponigro|Addai Caponigro|99911.55
last_name_max|Caporale|Abboid Caporale|99813.46
last_name_max|Caporaso|Allissa Caporaso|99848.12
last_name_max|Capotosto|Alosius Capotosto|99938.24
last_name_max|Capozzi|Alisia Capozzi|99955.92
last_name_max|Capparelli|Aldrych Capparelli|99976.35
last_name_max|Cappella|Abmaba Cappella|99616.87
last_name_max|Cappelletti|Allyn Cappelletti|99974.88
last_name_max|Cappelli|Achmed Cappelli|99682.69
last_name_max|Cappellini|Adnon Cappellini|99827.65
last_name_max|Cappellino|Afrate Cappellino|99997.48
last_name_max|Cappello|Ahran Cappello|99994.47
last_name_max|Cappetta|Alanna Cappetta|99849.93
last_name_max|Cappiello|Adriane Cappiello|99947.26
last_name_max|Cappo|Ailsha Cappo|99641.26
last_name_max|Cappola|Adrain Cappola|99886.18
last_name_max|Capponi|Alicija Capponi|99938.43
last_name_max|Cappucci|Aida Cappucci|99847.96
last_name_max|Capra|Achante Capra|99683.39
last_name_max|Capretta|Affinity Capretta|99921.72
last_name_max|Capri|Aaryn Capri|99867.44
last_name_max|Capriglione|Addiah Capriglione|99959.23
last_name_max|Caprini|Akeela Caprini|99977.80
last_name_max|Capriotti|Adreane Capriotti|99876.67
last_name_max|Caproni|Adred Caproni|99939.78
last_name_max|Capucho|Addis Capucho|99822.29
last_name_max|Capurso|Adelpha Capurso|99998.83
last_name_max|Caputa|Aliye Caputa|99977.26
last_name_max|Caputi|Alds Caputi|99952.12
last_name_max|Caputo|Allan Caputo|99972.07
last_name_max|Capuzzi|Adamik Capuzzi|99915.35
last_name_max|Carabello|Abreeana Carabello|99997.44
last_name_max|Caracappa|Abbegayle Caracappa|99973.93
last_name_max|Caracci|Alistair Caracci|99801.99
last_name_max|Caradonna|Ajit Caradonna|99928.76
last_name_max|Caramanica|Ahron Caramanica|99766.76
last_name_max|Caranci|Akeela Caranci|99922.24
last_name_max|Carangelo|Aedan Carangelo|99997.28
last_name_max|Carano|Adella Carano|99983.33
last_name_max|Caravella|Aleda Caravella|99984.13
last_name_max|Caravello|Alasteir Caravello|99962.77
last_name_max|Carazas|Adrea Carazas|99892.48
last_name_max|Carbonara|Allisone Carbonara|99997.43
last_name_max|Carbone|Abna Carbone|99834.40
last_name_max|Carboni|Aime Carboni|99906.66
last_name_max|Carchidi|Ahren Carchidi|99971.96
last_name_max|Carda|Aaronn Carda|99914.84
last_name_max|Cardamone|Aleka Cardamone|99861.32
last_name_max|Cardarelli|Alcine Cardarelli|99894.06
last_name_max|Cardelli|Abital Cardelli|99727.09
last_name_max|Cardello|Ailis Cardello|99942.92
last_name_max|Cardenas|Alithea Cardenas|99978.41
last_name_max|Cardi|Aamoir Cardi|99848.86
last_name_max|Cardile|Abuna Cardile|99958.29
last_name_max|Cardillo|Alisson Cardillo|99921.74
last_name_max|Cardinale|Adelina Cardinale|99998.75
last_name_max|Cardinali|Akim Cardinali|99984.10
last_name_max|Cardo|Aidee Cardo|99921.13
last_name_max|Cardone|Adore Cardone|99939.29
last_name_max|Cardoni|Adryon Cardoni|99902.17
last_name_max|Cardosa|Ahmose Cardosa|99998.36
last_name_max|Cardosi|Aliz Cardosi|99901.50
last_name_max|Cardoso|Allathea Cardoso|99916.75
last_name_max|Cardozo|Alida Cardozo|99991.62
last_name_max|Carducci|Adolphus Carducci|99942.42
last_name_max|Cardullo|Adrienne Cardullo|99956.40
last_name_max|Carella|Adelicia Carella|99981.15
last_name_max|Carelli|Akim Carelli|99953.57
last_name_max|Carello|Alrick Carello|99865.63
last_name_max|Careta|Addia Careta|99956.72
last_name_max|Caretta|Alesha Caretta|99968.76
last_name_max|Carey|Alitheah Carey|99815.70
last_name_max|Carfagna|Allisah Carfagna|99739.48
last_name_max|Carfagno|Aban Carfagno|99963.82
last_name_max|Carfora|Addison Carfora|99790.54
last_name_max|Carico|Abell Carico|99920.86
last_name_max|Caridade|Aimyah Caridade|99680.36
last_name_max|Carideo|Ahivia Carideo|99904.17
last_name_max|Caridi|Aleshanee Caridi|99964.74
last_name_max|Cariello|Abtin Cariello|99996.94
last_name_max|Carilli|Abner Carilli|99858.67
last_name_max|Carinci|Allathea Carinci|99783.23
last_name_max|Carini|Aimond Carini|99959.14
last_name_max|Carino|Abreonia Carino|99979.95
last_name_max|Carleo|Abel Carleo|99996.78
last_name_max|Carlesso|Alexas Carlesso|99881.30
last_name_max|Carli|Alfonzo Carli|99928.89
last_name_max|Carlin|Aaryn Carlin|99984.07
last_name_max|Carlini|Alister Carlini|99734.60
last_name_max|Carlino|Alessandra Carlino|99942.88
last_name_max|Carlisi|Akilah Carlisi|99915.01
last_name_max|Carlo|Abreonia Carlo|99937.75
last_name_max|Carlone|Alea Carlone|99762.47
last_name_max|Carloni|Abbigail Carloni|99851.17
last_name_max|Carlozzi|Ahyana Carlozzi|99961.37
last_name_max|Carlson|Alsone Carlson|99992.19
last_name_max|Carminate|Adreana Carminate|99873.98
last_name_max|Carminati|Alphonsus Carminati|99978.08
last_name_max|Carmine|Abiah Carmine|99965.28
last_name_max|Carmo|Abbe Carmo|99945.23
last_name_max|Carmosino|Agna Carmosino|99865.29
last_name_max|Carnaghi|Aemilius Carnaghi|99945.42
last_name_max|Carneiro|Alithiah Carneiro|99877.65
last_name_max|Carnevale|Ademaro Carnevale|99871.27
last_name_max|Carney|Adler Carney|99963.38
last_name_max|Carnicelli|Adalee Carnicelli|99954.36
last_name_max|Carniele|Alliss Carniele|99992.50
last_name_max|Carnielle|Agnesca Carnielle|99912.72
last_name_max|Carnielli|Adelaida Carnielli|99997.53
last_name_max|Caro|Abrille Caro|99771.93
last_name_max|Carone|Addem Carone|99984.99
last_name_max|Caronia|Acacio Caronia|99877.40
last_name_max|Carosella|Algernon Carosella|99977.90
last_name_max|Caroselli|Adia Caroselli|99868.53
last_name_max|Carosi|Alisson Carosi|99992.01
last_name_max|Carota|Agar Carota|99875.73
last_name_max|Carotenuto|Abbryana Carotenuto|99979.28
last_name_max|Carozza|Allythea Carozza|99983.76
last_name_max|Carpenter|Aidah Carpenter|99951.16
last_name_max|Carpentieri|Altheah Carpentieri|99828.25
last_name_max|Carpinelli|Alison Carpinelli|99899.41
last_name_max|Carpinello|Aline Carpinello|99697.12
last_name_max|Carpino|Addiah Carpino|99980.10
last_name_max|Carpio|Abryanna Carpio|99663.52
last_name_max|Carra|Allytheah Carra|99940.50
last_name_max|Carr|Alivia Carr|99930.09
last_name_max|Carraro|Alosius Carraro|99991.50
last_name_max|Carrasco|Allidia Carrasco|99966.87
last_name_max|Carrer|Airle Carrer|99983.68
last_name_max|Carricato|Adriano Carricato|99962.65
last_name_max|Carriere|Abeque Carriere|99966.55
last_name_max|Carrieri|Agnies Carrieri|99958.70
last_name_max|Carriero|Alishay Carriero|99919.48
last_name_max|Carrillo|Ai Carrillo|99807.26
last_name_max|Carro|Adelaide Carro|99970.24
last_name_max|Carroll|Ade Carroll|99798.50
last_name_max|Carrozza|Aisia Carrozza|99871.52
last_name_max|Carson|Abhijit Carson|99634.15
last_name_max|Carta|Adelaida Carta|99991.38
last_name_max|Cartelli|Ahmed Cartelli|99980.21
last_name_max|Carter|Abad Carter|99875.52
last_name_max|Caruana|Ab Caruana|99728.79
last_name_max|Caruso|Alissa Caruso|99868.74
last_name_max|Carusone|Afram Carusone|99982.90
last_name_max|Carvalhido|Alsonah Carvalhido|99995.37
last_name_max|Carvalho|Alexandre Carvalho|99975.16
last_name_max|Carvelli|Affonso Carvelli|99986.21
last_name_max|Casa|Allyiah Casa|99639.57
last_name_max|CasadoGama|Ahmik CasadoGama|99970.47
last_name_max|Casagranda|Abrienne Casagranda|99715.68
last_name_max|Casagrande|Alise Casagrande|99983.86
last_name_max|Casale|Alik Casale|99994.94
last_name_max|Casaletto|Akaash Casaletto|99767.60
last_name_max|Casali|Adreanna Casali|99981.41
last_name_max|Casalino|Allythiah Casalino|99928.51
last_name_max|Casamento|Akbar Casamento|99945.55
last_name_max|Casarella|Abalard Casarella|99992.20
last_name_max|Casaro|Adamek Casaro|99852.12
last_name_max|Casasanta|Algie Casasanta|99954.73
last_name_max|Casassa|Alder Casassa|99913.89
last_name_max|Casazza|Agathia Casazza|99851.47
last_name_max|Cascella|Akio Cascella|99924.03
last_name_max|Casciani|Alonso Casciani|99894.51
last_name_max|Casciano|Acantha Casciano|99745.87
last_name_max|Casciato|Alissa Casciato|99944.56
last_name_max|Cascioli|Allethia Cascioli|99860.79
last_name_max|Cascone|Alfredo Cascone|99943.55
last_name_max|Case|Admon Case|99924.05
last_name_max|Casella|Airle Casella|99860.76
last_name_max|Caselli|Aimy Caselli|99706.58
last_name_max|Caserta|Alric Caserta|99968.37
last_name_max|Casey|Abraheem Casey|99898.07
last_name_max|Casini|Adrianna Casini|99964.69
last_name_max|Casino|Afric Casino|99974.76
last_name_max|Cason|Algon Cason|99926.07
last_name_max|Cassani|Alica Cassani|99867.44
last_name_max|Cassano|Addai Cassano|99956.77
last_name_max|Cassaro|Aissah Cassaro|99800.73
last_name_max|Cassella|Abeir Cassella|99941.54
last_name_max|Cassese|Addisen Cassese|99967.00
last_name_max|Cassetta|Aella Cassetta|99571.97
last_name_max|Cassinelli|Affonso Cassinelli|99879.51
last_name_max|Cassini|Adair Cassini|99831.60
last_name_max|Cassino|Alisan Cassino|99896.02
last_name_max|Cassone|Aloani Cassone|99839.45
last_name_max|Castagna|Abbrienna Castagna|99867.42
last_name_max|Castagno|Alena Castagno|99913.26
last_name_max|Castagnola|Alexia Castagnola|99998.81
last_name_max|Castaldi|Allythyah Castaldi|99644.75
last_name_max|Castaldo|Achilles Castaldo|99998.39
last_name_max|Castaneda|Aliyah Castaneda|99830.71
last_name_max|Castelione|Aaryn Castelione|99936.50
last_name_max|Castellani|Aleck Castellani|99991.56
last_name_max|Castellano|Abrielle Castellano|99696.08
last_name_max|Castelli|Allaster Castelli|99997.40
last_name_max|Castellini|Alejandrina Castellini|99697.03
last_name_max|Castello|Agnizika Castello|99935.65
last_name_max|Castellucci|Alldyn Castellucci|99843.88
last_name_max|Castelluccio|Adrion Castelluccio|99891.57
last_name_max|Casteluber|Abbie Casteluber|99998.74
last_name_max|Castiglia|Abbiegail Castiglia|99860.65
last_name_max|Castiglione|Abigail Castiglione|99838.54
last_name_max|Castiglioni|Ainsly Castiglioni|99931.95
last_name_max|Castillo|Agace Castillo|99984.37
last_name_max|Castoro|Adelmio Castoro|99925.84
last_name_max|Castricone|Alaister Castricone|99872.04
last_name_max|Castro|Aaniyah Castro|99888.68
last_name_max|Catabriga|Aaniyah Catabriga|99757.38
last_name_max|Catalani|Adell Catalani|99981.10
last_name_max|Catalano|Ai Catalano|99990.11
last_name_max|Catalanotto|Alphus Catalanotto|99928.40
last_name_max|Catalino|Alisyne Catalino|99985.23
last_name_max|Catania|Alarik Catania|99976.34
last_name_max|Catano|Alexia Catano|99855.53
last_name_max|Catanzano|Ahmed Catanzano|99928.31
last_name_max|Catanzaro|Aline Catanzaro|99896.70
last_name_max|Catellan|Aldrich Catellan|99992.75
last_name_max|Catenacci|Aherin Catenacci|99886.76
last_name_max|Caterina|Abria Caterina|99892.22
last_name_max|Caterino|Alik Caterino|99835.10
last_name_max|Catizone|Alistair Catizone|99996.66
last_name_max|Catone|Alithea Catone|99941.84
last_name_max|Catrambone|Adali Catrambone|99919.03
last_name_max|Cattai|Adrienah Cattai|99712.68
last_name_max|Cattaneo|Alivah Cattaneo|99952.75
last_name_max|Cattelan|Althea Cattelan|99999.20
last_name_max|Catto|Agethe Catto|99545.10
last_name_max|Catucci|Abbiegail Catucci|99904.43
last_name_max|Cava|Adreena Cava|99784.83
last_name_max|Cavalcante|Aleksey Cavalcante|99558.18
last_name_max|Cavalcanti|Alexandrina Cavalcanti|99924.25
last_name_max|Cavaleiro|Acquilla Cavaleiro|99847.11
last_name_max|Cavaliere|Abmaba Cavaliere|99957.22
last_name_max|Cavalieri|Adreannah Cavalieri|99925.20
last_name_max|Cavalli|Akanah Cavalli|99571.91
last_name_max|Cavallina|Abrahaim Cavallina|99913.91
last_name_max|Cavallini|Ahren Cavallini|99922.26
last_name_max|Cavallo|Aleks Cavallo|99690.65
last_name_max|Cavanelas|Ahanu Cavanelas|99785.35
last_name_max|Cavanna|Akako Cavanna|99981.45
last_name_max|Cavataio|Affinity Cavataio|99981.38
last_name_max|Cavatti|Alizah Cavatti|99954.22
last_name_max|Caversani|Ally Caversani|99912.30
last_name_max|Cavicchi|Adele Cavicchi|99898.36
last_name_max|Cecala|Acura Cecala|99977.91
last_name_max|Ceccarelli|Alease Ceccarelli|99900.36
last_name_max|Cecchetti|Aleen Cecchetti|99843.43
